id,name,content,topic_final,topic_keywords,super_topic,super_topic_keywords
1,CHL URY FTA,1. Each Party shall endeavor to use information technologies that expedite procedures for the release of goods.,87,"risk management, technology procedure, procedure release, automated system, electronic automated, management system, system risk, release good, data arrival, inspection activity",S0,"personal information, electronic commerce, personal data, electronic transaction, protection personal, general application, good service, level protection, regulatory burden, legal effect"
2,CHL URY FTA,"2. To that effect the Parties:(a) They shall endeavour to use international standards and to make electronic systems accessible to users in the customs administration, where appropriate;(b) They will provide for the electronic transmission and processing of information and data prior to the arrival of the shipment, in order to allow for the dispatch of the goods upon their arrival;(c) They are committed to advance in the implementation of the Standard related to the Computerization of the International Cargo Manifest / Customs Transit Declaration and the Monitoring of the Operation between the States Parties of Mercosur under the International Land Transport Agreement;(d) They will provide for the processing of customs import and export operations through electronic documents and the possibility of digitizing the documents supporting customs declarations, as well as the use of validation mechanisms, previously agreed upon by the customs administration of both parties, for the electronic exchange of information in a secure manner;(e) They will adopt procedures that allow the option of electronic payment of duties, taxes, fees and charges collected by the customs administration that are due at the time of import and export;(f) They will preferably use electronic or automated systems for risk analysis and management;(g) They shall work on the interoperability of the electronic systems of the Parties' customs administrations in order to facilitate the exchange of international trade data, ensuring the same levels of confidentiality and data protection as those provided for in each Party's legislation; and(h) They will work to develop a set of common data elements and processes in accordance with the WCO Data Model and its recommendations and guidelines in the development of their import, export and transit formalities and procedures.",53,"custom procedure, convention simplification, field custom, legislation procedure, kyoto convention, economic operator, custom legislation, custom trade, import export, custom broker",S0,"personal information, electronic commerce, personal data, electronic transaction, protection personal, general application, good service, level protection, regulatory burden, legal effect"
4,CHL URY FTA,"1. Each Party shall endeavor, where appropriate, to accept hard copies or electronic copies of supporting documents required for import, export, or transit formalities.",153,"export transit, import export, transit formality, transit good, view simplifying, appropriate formality, manner time, compliance trader, complexity import, cost compliance",S3,"certificate origin, duty fee, duty charge, export transit, preferential tariff, charge connection, charge kind, import export, tariff treatment, exportation digital"
5,CHL URY FTA,"2. Where an original of such a document is already in the possession of a government agency of a Party, any other agency of that Party shall, where appropriate, accept in lieu of the original a paper or electronic copy provided by the agency in whose possession the original is held.",66,"electronic version, administration document, trade administration, version trade, time view, alternative method, trade reduction, cost time, method efficiency, reduction cost",S6,"trade administration, administration document, electronic version, version trade, document available, paper version, version document, effectiveness trade, acceptance electronic, form trade"
6,CHL URY FTA,"1, Each Party shall establish or maintain its own publicly accessible website containing information regarding this Agreement, including:(a) The text of this Agreement, including all annexes, such as product- specific rules of origin(b) A summary of this Agreement, and(c) Information for SMEs, containing(i) a description of the provisions of this Agreement that the Party considers to be relevant to SMEs; and(ii) any additional information that the Party considers useful for SMEs interested in benefiting from the opportunities granted by this Agreement.",69,"accessible website, additional information, smes interested, description considers, summary information, interested opportunity, smes additional, useful smes, considers relevant, information smes",S33,"accessible website, additional information, smes interested, description considers, summary information, interested opportunity, smes additional, useful smes, considers relevant, information smes"
7,CHL URY FTA,"2. Each Party shall include, on the website referred to in paragraph 1, links to(a) The equivalent websites of the other Party, and(b) The websites of its government agencies and other appropriate entities that provide information that the Party considers useful to any person interested in trading, investing or doing business in the territory of that Party.",107,"website website, person interested, equivalent website, useful person, appropriate entity, entity information, interested business, website government, considers useful, information considers",S47,"website website, person interested, equivalent website, useful person, appropriate entity, entity information, interested business, website government, considers useful, information considers"
14,CHL URY FTA,"5. Each Party shall allow, in accordance with its legal system, interested persons of the other Party to participate in the development of its standards, technical regulations, and conformity assessment procedures, on terms no less favorable than those accorded to its nationals.",52,"technical regulation, assessment procedure, regulation conformity, conformity assessment, standard technical, procedure available, printed form, tbt information, form possible, information new",S0,"personal information, electronic commerce, personal data, electronic transaction, protection personal, general application, good service, level protection, regulatory burden, legal effect"
16,CHL URY FTA,"5. Each Party shall allow, in accordance with its legal system, interested persons of the other Party to participate in the development of its standards, technical regulations, and conformity assessment procedures, on terms no less favorable than those accorded to its nationals.",52,"technical regulation, assessment procedure, regulation conformity, conformity assessment, standard technical, procedure available, printed form, tbt information, form possible, information new",S0,"personal information, electronic commerce, personal data, electronic transaction, protection personal, general application, good service, level protection, regulatory burden, legal effect"
19,CHL URY FTA,"1. Each Party shall ensure that all measures of general application affecting trade in services are administered in a reasonable, objective, and impartial manner.",3,"competent authority, qualification procedure, specific commitment, sector specific, procedure formality, authorisation fee, independent manner, decision independent, applicant competent, public advance",S0,"personal information, electronic commerce, personal data, electronic transaction, protection personal, general application, good service, level protection, regulatory burden, legal effect"
20,CHL URY FTA,"2. With a view to ensuring that measures relating to qualification requirements and procedures, technical standards, and licensing requirements do not constitute unnecessary barriers to trade in services, and recognizing the right to regulate and introduce new regulations on the supply of services to satisfy its policy objectives, each Party shall ensure that any such measures it adopts or maintains:(a) Are based on objective and transparent criteria, such as competence and ability to provide the service;(b) Are not more burdensome than necessary to ensure the quality of services, and(c) In the case of licensing procedures, they do not in themselves constitute a restriction on the provision of the service.",3,"competent authority, qualification procedure, specific commitment, sector specific, procedure formality, authorisation fee, independent manner, decision independent, applicant competent, public advance",S0,"personal information, electronic commerce, personal data, electronic transaction, protection personal, general application, good service, level protection, regulatory burden, legal effect"
